id,name,now_cost,position,team,total_points,expected_goals_conceded_per_90,expected_goals_conceded,form,team_join_date,transfers_in,goals_conceded,saves_per_90,minutes,now_cost_rank_type,value_season,mng_underdog_draw,goals_conceded_per_90,penalties_missed,creativity,selected_rank,ict_index_rank_type,transfers_out_event,mng_clean_sheets,birth_date,starts,mng_goals_scored,penalties_saved,expected_goals,expected_assists_per_90,creativity_rank,mng_win,news_added,saves,clean_sheets,own_goals,bonus,chance_of_playing_next_round,ep_this,points_per_game_rank_type,ict_index,transfers_out,opta_code,direct_freekicks_order,clean_sheets_per_90,can_select,selected_by_percent,mng_underdog_win,corners_and_indirect_freekicks_order,cost_change_start_fall,dreamteam_count,points_per_game_rank,assists,expected_goal_involvements,event_points,points_per_game,yellow_cards,cost_change_event_fall,mng_draw,starts_per_90,threat_rank,cost_change_event,bps,selected_rank_type,influence_rank,penalties_order,in_dreamteam,red_cards,region,threat_rank_type,cost_change_start,value_form,chance_of_playing_this_round,form_rank,transfers_in_event,influence,web_name,news,mng_loss,creativity_rank_type,expected_goals_per_90,now_cost_rank,form_rank_type,ict_index_rank,influence_rank_type,ep_next,goals_scored,expected_goal_involvements_per_90,expected_assists,status,threat
133,Adrian Mazilu,45,MID,Brighton,0,0.0,0.00,0.0,,720,0,0.0,0,289,0.0,0,0.0,0,0.0,708,309,0,0,,0,0,0,0.00,0.0,737,0,2024-08-29T11:08:43.963582Z,0,0,0,0,0.0,0.0,310,0.0,4134,p550141,,0.0,False,0.0,0,,0,0,745,0,0.00,0,0.0,0,0,0,0.0,721,0,0,290,741,,False,0,,302,0,0.0,0.0,676,0,0.0,Mazilu,Has joined Vitesse Arnhem on loan for the rest of the season,0,309,0.0,454,268,741,309,0.0,0,0.0,0.00,u,0.0
134,James Milner,50,MID,Brighton,5,1.05,1.98,0.0,2023-07-01,4933,1,0.0,169,117,1.0,0,0.53,0,66.3,584,204,1,0,1986-01-04,3,0,0,0.16,0.08,333,0,2024-08-31T21:00:04.655035Z,0,1,0,0,0.0,0.0,163,10.7,10947,p15157,,0.53,True,0.0,0,,0,0,349,0,0.31,0,1.7,1,0,0,1.6,422,0,24,226,459,,False,0,241.0,219,0,0.0,0.0,742,1,28.6,Milner,Hamstring injury - Expected back 25 May,0,190,0.09,193,313,429,211,0.0,0,0.17,0.15,i,12.0
135,Yankuba Minteh,48,MID,Brighton,98,1.31,24.22,3.4,2024-07-01,537868,30,0.0,1658,205,20.4,0,1.63,0,409.9,200,47,557,0,2004-07-22,18,0,0,3.99,0.25,87,0,2025-01-12T22:30:08.694313Z,0,4,0,8,100.0,3.4,53,146.8,560543,p592031,,0.22,True,1.1,0,5.0,7,2,115,5,8.60,3,3.3,6,0,0,0.98,50,0,382,65,126,,False,0,78.0,30,-7,0.7,100.0,87,152,509.4,Minteh,,0,67,0.22,319,37,67,46,2.4,6,0.47,4.61,a,545.0
136,Mitoma Kaoru,64,MID,Brighton,135,1.29,36.19,2.6,2021-08-09,3120663,40,0.0,2527,26,21.1,0,1.42,0,545.1,57,18,3242,0,1997-05-20,28,0,0,8.79,0.13,61,0,2025-05-05T07:30:07.950361Z,0,6,0,12,100.0,2.6,24,197.1,2858667,p451340,,0.21,True,6.5,0,,1,1,46,4,12.51,1,4.0,1,0,0,1.0,19,0,497,19,71,,False,0,108.0,10,-1,0.4,100.0,138,539,611.4,Mitoma,,0,49,0.31,50,61,23,23,1.6,9,0.44,3.72,a,812.0
137,Jakub Moder,44,MID,Brighton,4,2.6,0.26,0.0,2020-10-05,173459,0,0.0,9,316,0.9,0,0.0,0,36.0,279,221,23,0,,0,0,0,0.00,5.3,383,0,2025-01-22T10:15:11.772489Z,0,0,0,0,0.0,0.0,213,5.4,177373,p243505,,0.0,False,0.4,0,,1,0,474,0,0.53,0,1.0,0,0,0,0.0,469,0,17,84,485,,False,0,172.0,236,-1,0.0,0.0,589,0,15.8,Moder,Loaned to Feyenoord,0,206,0.0,523,205,468,224,0.0,0,5.3,0.53,u,2.0
138,Mark O’Mahony,45,FWD,Brighton,0,0.0,0.00,0.0,,31158,0,0.0,0,76,0.0,0,0.0,0,0.0,376,68,7,0,,0,0,0,0.00,0.0,746,0,2024-08-30T10:16:16.061223Z,0,0,0,0,0.0,0.0,71,0.0,74096,p574402,,0.0,False,0.2,0,,0,0,752,0,0.00,0,0.0,0,0,0,0.0,729,0,0,58,749,,False,0,,68,0,0.0,0.0,685,0,0.0,O’Mahony,Season long to Portsmouth,0,68,0.0,465,59,749,68,0.0,0,0.0,0.00,u,0.0
139,Odeluga Offiah,40,DEF,Brighton,0,0.0,0.00,0.0,,2639,0,0.0,0,179,0.0,0,0.0,0,0.0,544,207,1,0,,0,0,0,0.00,0.0,588,0,2024-08-31T06:26:46.238644Z,0,0,0,0,0.0,0.0,207,0.0,13804,p445548,,0.0,False,0.1,0,,0,0,609,0,0.00,0,0.0,0,0,0,0.0,549,0,0,190,601,,False,0,,195,0,0.0,0.0,483,0,0.0,Offiah,Loaned to Blackpool,0,205,0.0,662,164,601,207,0.0,0,0.0,0.00,u,0.0
140,Cameron Peupion,44,MID,Brighton,0,0.0,0.00,0.0,2022-08-23,10268,0,0.0,0,318,0.0,0,0.0,0,0.0,552,257,4,0,,0,0,0,0.00,0.0,668,0,2025-02-03T10:22:59.975748Z,0,0,0,0,0.0,0.0,260,0.0,12386,p491598,,0.0,False,0.0,0,,1,0,679,0,0.00,0,0.0,0,0,0,0.0,644,0,0,208,672,,False,0,13.0,248,-1,0.0,0.0,594,0,0.0,Peupion,Loaned to ADO Den Haag,0,258,0.0,534,207,672,257,0.0,0,0.0,0.00,u,0.0
141,Jeremy Sarmiento Morante,49,MID,Brighton,1,0.0,0.00,0.0,,354,0,0.0,8,170,0.2,0,0.0,0,0.8,718,252,0,0,,0,0,0,0.00,0.0,496,0,2024-08-31T06:27:42.007071Z,0,0,0,0,0.0,0.0,239,0.1,2971,p441192,,0.0,False,0.0,0,,1,0,513,0,0.00,0,1.0,0,0,0,0.0,764,0,3,299,545,,False,0,,329,-1,0.0,0.0,737,0,0.2,Sarmiento,Loaned to Burnley,0,244,0.0,264,309,545,252,0.0,0,0.0,0.00,u,0.0
142,Jason Steele,40,GKP,Brighton,9,0.94,1.88,0.0,2018-07-01,299925,1,1.5,180,41,2.2,0,0.5,0,0.0,243,37,30,0,1990-08-18,2,0,0,0.00,0.0,568,0,2025-01-24T16:00:08.785970Z,3,1,0,1,100.0,0.0,3,4.1,350119,p49262,,0.5,True,0.7,0,,5,0,22,0,0.00,0,4.5,0,0,0,1.0,529,0,46,31,440,,False,0,241.0,25,-5,0.0,100.0,461,15,40.4,Steele,,0,44,0.0,636,47,482,37,-1.0,0,0.0,0.00,a,0.0
143,Deniz Undav,55,FWD,Brighton,0,0.0,0.00,0.0,,0,0,0.0,0,31,0.0,0,0.0,0,0.0,756,84,0,0,,0,0,0,0.00,0.0,794,0,2024-08-10T12:18:55.962223Z,0,0,0,0,0.0,0.0,84,0.0,1477,p450434,,0.0,False,0.0,0,,0,0,793,0,0.00,0,0.0,0,0,0,0.0,793,0,0,87,794,,False,0,,84,0,0.0,0.0,779,0,0.0,Undav,Transferred to Stuttgart,0,84,0.0,119,81,794,84,0.0,0,0.0,0.00,u,0.0
144,Jan Paul van Hecke,45,DEF,Brighton,84,1.31,40.48,1.6,2020-09-10,318228,44,0.0,2780,68,18.7,0,1.42,0,232.3,235,27,154,0,2000-06-08,31,0,0,1.24,0.04,174,0,2025-04-19T21:00:07.484058Z,0,7,0,7,100.0,1.6,59,109.8,289136,p469142,,0.23,True,0.8,0,,0,2,192,1,2.58,7,2.6,6,0,0,1.0,194,0,387,92,49,,False,1,152.0,39,0,0.4,100.0,227,108,691.8,Van Hecke,,0,37,0.04,404,73,116,19,0.6,1,0.08,1.34,a,172.0
145,Joël Veltman,43,DEF,Brighton,59,1.34,24.83,0.2,2020-07-29,645663,24,0.0,1663,112,13.7,0,1.3,0,143.9,194,88,49,0,1992-01-15,19,0,0,0.47,0.07,243,0,2025-02-22T21:30:09.237196Z,0,6,0,7,100.0,0.2,36,47.4,666157,p111478,,0.32,True,1.1,0,,2,1,138,0,1.76,0,3.0,4,0,0,1.03,306,0,245,76,251,,False,0,152.0,95,-2,0.0,100.0,396,10,269.2,Veltman,,0,64,0.03,563,129,289,94,-0.8,0,0.1,1.29,a,59.0
146,Bart Verbruggen,46,GKP,Brighton,99,1.44,48.91,3.0,2023-07-03,801637,55,2.56,3060,14,21.5,0,1.62,0,10.0,118,8,704,0,2002-08-18,34,0,0,0.00,0.0,459,0,2024-08-12T14:30:04.523944Z,87,7,0,6,100.0,3.0,24,82.3,603768,p489639,,0.21,True,2.6,0,,-1,1,153,1,0.01,8,2.9,5,0,0,1.0,750,0,354,19,21,,False,0,152.0,71,1,0.7,100.0,103,164,813.2,Verbruggen,,0,17,0.0,358,12,180,7,2.0,0,0.0,0.01,a,0.0
