id,name,now_cost,position,team,total_points,expected_goals_conceded_per_90,expected_goals_conceded,form,team_join_date,transfers_in,goals_conceded,saves_per_90,minutes,now_cost_rank_type,value_season,mng_underdog_draw,goals_conceded_per_90,penalties_missed,creativity,selected_rank,ict_index_rank_type,transfers_out_event,mng_clean_sheets,birth_date,starts,mng_goals_scored,penalties_saved,expected_goals,expected_assists_per_90,creativity_rank,mng_win,news_added,saves,clean_sheets,own_goals,bonus,chance_of_playing_next_round,ep_this,points_per_game_rank_type,ict_index,transfers_out,opta_code,direct_freekicks_order,clean_sheets_per_90,can_select,selected_by_percent,mng_underdog_win,corners_and_indirect_freekicks_order,cost_change_start_fall,dreamteam_count,points_per_game_rank,assists,expected_goal_involvements,event_points,points_per_game,yellow_cards,cost_change_event_fall,mng_draw,starts_per_90,threat_rank,cost_change_event,bps,selected_rank_type,influence_rank,penalties_order,in_dreamteam,red_cards,region,threat_rank_type,cost_change_start,value_form,chance_of_playing_this_round,form_rank,transfers_in_event,influence,web_name,news,mng_loss,creativity_rank_type,expected_goals_per_90,now_cost_rank,form_rank_type,ict_index_rank,influence_rank_type,ep_next,goals_scored,expected_goal_involvements_per_90,expected_assists,status,threat
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0.0,0.00,0.0,,439,0,0.0,0,82,0.0,0,0.0,0,0.0,713,341,0,0,,0,0,0,0.00,0.0,791,0,2024-08-29T11:06:25.241953Z,0,0,0,0,0.0,0.0,341,0.0,2825,p438098,,0.0,False,0.0,0,,1,0,790,0,0.00,0,0.0,0,0,0,0.0,788,0,0,294,791,,False,0,,340,-1,0.0,0.0,774,0,0.0,Fábio Vieira,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0,341,0.0,133,332,791,341,0.0,0,0.0,0.00,u,0.0
2,Gabriel Fernando de Jesus,65,FWD,Arsenal,42,0.87,5.82,0.0,2022-07-04,1238189,5,0.0,600,20,6.5,0,0.75,0,119.5,203,32,43,0,1997-04-03,6,0,0,3.05,0.08,263,0,2025-01-12T22:00:07.802845Z,0,2,0,6,0.0,0.0,26,52.6,1409397,p205651,,0.3,True,1.0,0,,5,2,217,2,3.57,0,2.5,4,0,0,0.9,126,0,152,31,340,,False,0,30.0,32,-5,0.0,0.0,794,12,154.4,G.Jesus,Knee injury - Expected back 01 Jun,0,31,0.46,43,84,276,32,0.0,3,0.54,0.52,i,255.0
3,Gabriel dos Santos Magalhães,62,DEF,Arsenal,117,0.88,23.09,0.0,2020-09-01,5092906,22,0.0,2363,5,18.9,0,0.84,0,208.8,33,28,2165,0,1997-12-19,28,0,0,2.70,0.05,193,0,2025-04-01T22:00:07.982867Z,0,10,0,9,0.0,0.0,2,108.2,5398385,p226597,,0.38,True,12.4,0,,-2,2,35,2,3.91,0,4.2,4,0,0,1.07,110,0,459,12,80,,False,0,30.0,9,2,0.0,0.0,791,23,584.6,Gabriel,Hamstring injury - Expected back 01 Jun,0,43,0.1,61,263,120,30,0.0,3,0.15,1.21,i,287.0
4,Kai Havertz,77,FWD,Arsenal,96,0.93,19.00,0.0,2023-06-28,2589815,20,0.0,1839,4,12.5,0,0.98,0,257.0,66,16,138,0,1999-06-11,21,0,0,9.39,0.08,157,0,2025-02-12T09:00:08.755570Z,0,7,0,14,25.0,0.0,8,142.6,3526422,p219847,,0.34,True,5.7,0,,3,1,20,3,11.02,0,4.6,4,0,0,1.03,34,0,340,12,144,3.0,False,0,80.0,15,-3,0.0,25.0,798,22,467.2,Havertz,Hamstring injury - 25% chance of playing,0,17,0.46,14,87,75,16,0.1,9,0.54,1.63,d,701.0
5,Karl Hein,40,GKP,Arsenal,0,0.0,0.00,0.0,,0,0,0.0,0,54,0.0,0,0.0,0,0.0,642,68,1,0,,0,0,0,0.00,0.0,594,0,2024-08-14T08:31:46.556082Z,0,0,0,0,0.0,0.0,68,0.0,4620,p463748,,0.0,False,0.0,0,,0,0,615,0,0.00,0,0.0,0,0,0,0.0,555,0,0,71,607,,False,0,,38,0,0.0,0.0,489,0,0.0,Hein,Loaned to Real Valladolid,0,57,0.0,668,59,607,68,0.0,0,0.0,0.00,u,0.0
6,Jurriën Timber,56,DEF,Arsenal,114,0.79,21.09,1.0,2023-07-14,1957814,21,0.0,2415,11,20.4,0,0.78,0,296.8,64,40,1747,0,2001-06-17,27,0,0,1.23,0.05,136,0,2025-05-04T12:00:07.787916Z,0,11,0,9,100.0,1.0,11,94.2,1465688,p445122,,0.41,True,5.8,0,,-1,2,67,3,2.53,0,3.8,7,0,0,1.01,127,0,426,21,176,,False,0,152.0,14,1,0.2,100.0,292,1126,393.0,J.Timber,,0,28,0.05,104,86,149,66,1.5,1,0.1,1.30,a,254.0
7,Jorge Luiz Frello Filho,46,MID,Arsenal,19,0.75,5.83,0.4,2023-01-31,30801,7,0.0,700,226,4.1,0,0.9,0,88.8,360,199,7,0,1991-12-20,9,0,0,0.06,0.08,301,0,2025-04-12T20:00:08.048837Z,0,2,0,0,100.0,0.4,188,14.2,50488,p85955,,0.26,True,0.2,0,,4,0,403,0,0.65,0,1.4,5,0,0,1.16,436,0,109,113,435,,False,0,106.0,224,-4,0.1,100.0,370,5,44.6,Jorginho,,0,180,0.01,347,175,413,199,0.9,0,0.09,0.59,a,8.0
8,Jakub Kiwior,48,DEF,Arsenal,33,1.03,9.66,3.2,2023-01-23,312214,12,0.0,847,39,6.9,0,1.28,0,59.5,138,120,266,0,2000-02-15,7,0,0,0.17,0.02,342,0,,0,2,0,0,,3.2,71,27.6,104083,p440854,,0.21,True,2.1,0,,2,1,226,0,0.40,0,2.4,0,0,0,0.74,366,0,131,52,304,,False,0,172.0,121,-2,0.7,,94,664,186.2,Kiwior,,0,111,0.02,311,26,359,113,3.7,1,0.04,0.23,a,30.0
9,Gabriel Martinelli Silva,65,MID,Arsenal,113,0.94,21.17,2.8,2019-07-15,1281482,22,0.0,2034,23,17.4,0,0.97,0,540.3,123,27,466,0,2001-06-18,22,0,0,5.87,0.18,62,0,2025-02-06T00:00:08.092348Z,0,9,0,6,100.0,2.8,32,184.6,1365577,p444145,,0.4,True,2.5,0,,5,1,70,4,10.02,0,3.8,1,0,0,0.97,21,0,381,40,132,,False,0,30.0,11,-5,0.4,100.0,130,648,498.6,Martinelli,,0,50,0.26,45,59,36,48,3.3,7,0.44,4.15,a,806.0
12,Ethan Nwaneri,43,MID,Arsenal,64,0.53,4.75,2.2,2022-09-17,724370,3,0.0,808,343,14.9,0,0.33,0,232.5,157,104,834,0,2007-03-21,10,0,0,1.15,0.18,173,0,2025-01-04T22:00:06.872110Z,0,4,0,4,100.0,2.2,78,74.0,576165,p499175,,0.45,True,1.6,0,,2,0,190,2,2.80,0,2.6,1,1,0,1.11,144,-1,234,52,242,,False,0,241.0,92,-2,0.5,100.0,155,365,278.2,Nwaneri,,0,119,0.13,591,67,200,108,2.7,4,0.31,1.65,a,230.0
13,Martin Ødegaard,82,MID,Arsenal,98,0.76,17.96,3.8,2021-08-20,1148160,19,0.0,2126,9,12.0,0,0.8,0,880.2,72,31,607,0,1998-12-17,24,0,0,4.60,0.27,11,0,2024-09-10T00:30:06.311550Z,0,10,0,10,100.0,3.8,41,178.7,2230643,p184029,1.0,0.42,True,5.0,0,3.0,3,0,88,7,11.05,0,3.6,4,0,0,1.02,66,0,456,22,152,2.0,False,0,161.0,42,-3,0.5,100.0,72,725,453.0,Ødegaard,,0,10,0.19,12,32,41,58,4.3,2,0.46,6.45,a,452.0
15,David Raya Martin,55,GKP,Arsenal,131,0.86,29.98,2.0,2024-07-04,3916131,31,2.2,3150,2,23.8,0,0.89,0,0.7,7,13,2683,0,1995-09-15,35,0,0,0.00,0.0,498,0,2025-01-30T11:00:08.979724Z,77,12,0,9,100.0,2.0,14,68.9,3459643,p154561,,0.34,True,30.7,0,,0,2,78,0,0.02,0,3.7,2,1,0,1.0,792,-1,514,1,51,,False,0,200.0,82,0,0.4,100.0,187,1418,687.6,Raya,,0,19,0.0,108,15,221,13,2.5,0,0.0,0.02,a,0.0
16,Declan Rice,62,MID,Arsenal,114,0.84,24.64,4.4,2023-07-15,489488,28,0.0,2643,30,18.4,0,0.95,0,912.5,99,20,537,0,1999-01-14,31,0,0,3.26,0.19,9,0,2025-04-09T09:00:07.898311Z,0,10,0,14,100.0,4.4,47,192.5,786317,p204480,2.0,0.34,True,3.6,0,2.0,3,0,97,7,8.81,0,3.5,5,0,0,1.06,88,0,576,32,57,,False,1,241.0,59,-3,0.7,100.0,49,1469,656.6,Rice,,0,9,0.11,56,19,25,16,4.9,3,0.3,5.55,a,360.0
17,Bukayo Saka,103,MID,Arsenal,121,0.81,13.84,1.0,2018-11-28,7772618,19,0.0,1535,3,11.7,0,1.11,0,737.5,19,12,3977,0,2001-09-05,18,0,0,6.36,0.4,22,0,2025-04-09T09:00:07.942776Z,0,6,0,18,100.0,1.0,4,206.2,9246330,p223340,,0.35,True,17.1,0,1.0,-3,4,9,11,13.26,0,5.5,3,0,0,1.06,25,0,480,5,88,1.0,False,0,241.0,14,3,0.1,100.0,295,4545,570.2,Saka,,0,18,0.37,4,141,17,33,1.5,6,0.77,6.90,a,755.0
18,William Saliba,65,DEF,Arsenal,128,0.82,26.30,2.0,2019-07-25,4020504,27,0.0,2904,3,19.7,0,0.84,0,147.4,8,41,3043,0,2001-03-24,33,0,0,2.42,0.04,240,0,2025-01-18T23:00:07.959087Z,0,12,0,14,100.0,2.0,8,92.1,4946643,p462424,,0.37,True,30.6,0,,-5,3,56,0,3.69,0,3.9,2,0,0,1.02,246,0,548,2,59,,False,1,73.0,70,5,0.3,100.0,191,2671,654.2,Saliba,,0,63,0.08,47,54,153,23,2.5,2,0.12,1.27,a,116.0
20,Thomas Partey,49,MID,Arsenal,101,0.92,25.78,2.8,2020-10-05,305996,27,0.0,2523,156,20.6,0,0.96,0,332.0,241,72,72,0,1993-06-13,28,0,0,2.00,0.08,114,0,2025-04-12T20:00:08.101021Z,0,8,0,8,100.0,2.8,57,107.5,287360,p167199,,0.29,True,0.7,0,,1,0,125,3,4.34,0,3.2,4,0,0,1.0,195,0,523,76,92,,False,0,81.0,119,-1,0.6,100.0,123,60,566.8,Thomas,,0,81,0.07,246,54,121,35,3.3,4,0.15,2.34,a,172.0
21,Kieran Tierney,43,DEF,Arsenal,15,0.76,1.47,1.6,2019-08-08,15214,0,0.0,174,116,3.5,0,0.0,0,90.5,472,141,42,0,1997-06-05,1,0,0,0.21,0.26,298,0,2024-08-12T14:30:04.394338Z,0,1,0,0,100.0,1.6,122,14.5,12878,p192895,,0.52,True,0.1,0,,2,0,372,0,0.71,0,1.5,0,0,0,0.52,416,0,63,164,441,,False,0,243.0,147,-2,0.4,100.0,220,11,40.4,Tierney,,0,88,0.11,568,69,412,162,2.1,0,0.37,0.50,a,13.0
22,Tomiyasu Takehiro,48,DEF,Arsenal,1,0.6,0.04,0.0,2021-08-31,2035,0,0.0,6,36,0.2,0,0.0,0,0.3,599,183,4,0,1998-11-05,0,0,0,0.18,0.0,511,0,2024-10-18T16:00:06.930143Z,0,0,0,0,0.0,0.0,175,1.0,8072,p223723,,0.0,True,0.0,0,,2,0,508,0,0.18,0,1.0,0,0,0,0.0,431,0,2,208,542,,False,0,108.0,156,-2,0.0,0.0,723,7,0.4,Tomiyasu,Knee injury - Expected back 01 Jun,0,187,2.7,299,256,524,191,0.0,0,2.7,0.00,i,9.0
23,Leandro Trossard,68,MID,Arsenal,138,0.8,20.93,5.6,2023-01-20,1213738,25,0.0,2355,16,20.3,0,0.96,0,559.4,90,25,1785,0,1994-12-04,26,0,0,6.29,0.14,55,0,2024-11-21T08:30:08.540890Z,0,10,0,16,100.0,5.6,26,186.2,1016599,p116216,,0.38,True,4.2,0,4.0,2,2,57,6,9.97,0,3.9,2,0,0,0.99,24,0,508,27,103,4.0,False,1,21.0,13,-2,0.8,100.0,24,2648,551.6,Trossard,,0,43,0.24,33,8,33,38,6.1,8,0.38,3.68,a,755.0
24,Benjamin White,61,DEF,Arsenal,38,1.17,12.20,1.4,2021-07-30,183747,10,0.0,938,6,6.2,0,0.96,0,109.6,134,107,98,0,1997-10-08,10,0,0,0.40,0.05,275,0,2025-04-12T20:00:08.123863Z,0,4,0,0,100.0,1.4,57,35.7,1007132,p198869,,0.38,True,2.2,0,,4,0,188,1,0.95,0,2.7,2,0,0,0.96,302,0,153,50,312,,False,0,241.0,93,-4,0.2,100.0,262,219,181.2,White,,0,77,0.04,71,78,328,117,1.9,0,0.09,0.55,a,66.0
25,Oleksandr Zinchenko,48,DEF,Arsenal,37,0.48,2.36,3.6,2022-07-22,108707,0,0.0,447,34,7.7,0,0.0,0,64.7,217,134,72,0,1996-12-15,4,0,0,0.28,0.05,335,0,2024-12-09T09:30:06.099861Z,0,4,0,2,100.0,3.6,48,17.4,321965,p206325,,0.81,True,0.9,0,,2,1,168,1,0.55,0,2.8,1,0,0,0.81,320,0,126,83,421,,False,0,225.0,104,-2,0.8,100.0,78,90,57.2,Zinchenko,,0,109,0.06,295,19,395,151,4.1,0,0.11,0.27,a,53.0
73,Norberto Murara Neto,41,GKP,Arsenal,7,1.46,2.91,0.0,2024-08-30,92286,2,5.5,180,35,1.7,0,1.0,0,0.0,244,35,31,0,1989-07-19,2,0,0,0.00,0.0,644,0,2025-04-25T00:00:07.994709Z,11,0,0,0,100.0,0.0,16,7.8,260252,p69752,,0.0,True,0.7,0,,4,0,89,0,0.00,0,3.5,0,0,0,1.0,608,0,30,32,406,,False,0,30.0,47,-4,0.0,100.0,546,13,77.8,Neto,,0,66,0.0,625,68,450,35,0.5,0,0.0,0.00,a,0.0
186,Raheem Sterling,67,MID,Arsenal,24,0.78,3.70,0.6,2024-08-30,56211,3,0.0,428,18,3.6,0,0.63,0,118.4,224,176,19,0,1994-12-08,6,0,0,1.32,0.1,264,0,2025-03-08T20:00:09.918533Z,0,1,0,0,100.0,0.6,185,29.6,164691,p103955,3.0,0.21,True,0.8,0,,3,0,387,2,1.79,0,1.5,1,0,0,1.26,247,0,54,72,418,,False,0,241.0,137,-3,0.1,100.0,348,23,63.8,Sterling,,0,162,0.28,39,167,353,193,1.1,0,0.38,0.47,a,116.0
578,Riccardo Calafiori,58,DEF,Arsenal,37,0.93,9.51,0.0,2024-07-29,247182,12,0.0,921,8,6.4,0,1.17,0,116.2,187,83,31,0,2002-05-19,11,0,0,0.86,0.07,266,0,2025-03-24T14:30:09.477149Z,0,1,0,1,100.0,0.0,85,53.9,424076,p466075,,0.1,True,1.2,0,,2,1,262,1,1.54,0,2.2,4,0,0,1.07,191,0,133,72,264,,False,0,106.0,36,-2,0.0,100.0,783,158,249.6,Calafiori,,0,72,0.08,90,262,274,100,0.5,2,0.15,0.68,a,174.0
597,Myles Lewis-Skelly,45,MID,Arsenal,32,0.95,12.23,1.2,2022-12-04,108359,14,0.0,1162,264,7.1,0,1.08,0,143.2,288,163,174,0,2006-09-26,13,0,0,0.12,0.03,246,0,2025-02-22T21:00:10.286547Z,0,4,0,0,100.0,1.2,169,34.4,74412,p499169,,0.31,True,0.4,0,,0,0,359,0,0.57,0,1.6,2,0,0,1.01,327,0,199,89,335,,False,2,241.0,177,0,0.3,100.0,270,248,156.6,Lewis-Skelly,,0,157,0.01,422,126,331,152,1.7,1,0.04,0.45,a,48.0
633,Mikel Merino,60,MID,Arsenal,86,0.82,12.89,1.2,2024-08-27,664121,14,0.0,1407,49,14.3,0,0.9,0,242.9,137,69,1871,0,1996-06-22,15,0,0,4.47,0.07,167,0,2025-01-27T01:00:09.275216Z,0,4,0,8,100.0,1.2,56,110.4,433934,p195384,,0.26,True,2.1,0,,0,1,118,2,5.62,0,3.3,2,1,0,0.96,67,-1,303,47,168,,False,0,200.0,43,0,0.2,100.0,279,535,413.0,Merino,,0,114,0.29,77,133,115,67,1.7,6,0.36,1.15,a,449.0
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0,0.0,0.00,0.0,2021-10-25,2712,0,0.0,0,263,0.0,0,0.0,0,0.0,678,290,0,0,2003-08-20,0,0,0,0.00,0.0,715,0,,0,0,0,0,,0.0,291,0.0,2304,p498046,,0.0,True,0.0,0,,0,0,723,0,0.00,0,0.0,0,0,0,0.0,696,0,0,277,718,,False,0,152.0,282,0,0.0,,650,1,0.0,Oulad M'hand,,0,290,0.0,421,246,718,290,0.5,0,0.0,0.00,a,0.0
639,Tommy Setford,45,GKP,Arsenal,0,0.0,0.00,0.0,2024-07-24,4428,0,0.0,0,19,0.0,0,0.0,0,0.0,533,82,5,0,2006-03-13,0,0,0,0.00,0.0,739,0,,0,0,0,0,,0.0,82,0.0,4883,p551221,,0.0,True,0.1,0,,0,0,747,0,0.00,0,0.0,0,0,0,0.0,723,0,0,69,743,,False,0,241.0,70,0,0.0,,678,2,0.0,Setford,,0,80,0.0,457,82,743,82,0.5,0,0.0,0.00,a,0.0
657,Maldini Kacurri,40,DEF,Arsenal,0,0.0,0.00,0.0,2024-09-14,11257,0,0.0,0,218,0.0,0,0.0,0,0.0,547,234,3,0,,0,0,0,0.00,0.0,626,0,2025-02-04T10:52:26.271821Z,0,0,0,0,0.0,0.0,234,0.0,10334,p588793,,0.0,False,0.1,0,,0,0,646,0,0.00,0,0.0,0,0,0,0.0,589,0,0,192,638,,False,0,2.0,225,0,0.0,0.0,526,0,0.0,Kacurri,Loaned to Bromley,0,233,0.0,711,197,638,234,0.0,0,0.0,0.00,u,0.0
659,Ismeal Kabia,45,MID,Arsenal,0,0.0,0.00,0.0,2024-09-14,2993,0,0.0,0,299,0.0,0,0.0,0,0.0,676,317,1,0,2005-12-10,0,0,0,0.00,0.0,751,0,,0,0,0,0,,0.0,318,0.0,2534,p588796,,0.0,True,0.0,0,,0,0,757,0,0.00,0,0.0,0,0,0,0.0,734,0,0,276,754,,False,0,152.0,310,0,0.0,,691,1,0.0,Kabia,,0,317,0.0,471,277,754,317,0.5,0,0.0,0.00,a,0.0
662,Josh Nichols,40,DEF,Arsenal,0,0.0,0.00,0.0,2024-07-24,7074,0,0.0,0,188,0.0,0,0.0,0,0.0,531,214,13,0,2006-07-26,0,0,0,0.00,0.0,601,0,,0,0,0,0,,0.0,214,0.0,5376,p499167,,0.0,True,0.1,0,,0,0,622,0,0.00,0,0.0,0,0,0,0.0,562,0,0,185,614,,False,0,241.0,202,0,0.0,,497,13,0.0,Nichols,,0,212,0.0,677,172,614,214,0.5,0,0.0,0.00,a,0.0
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,1,0.6,0.04,0.2,2024-09-18,58838,0,0.0,6,66,0.2,0,0.0,0,0.0,389,56,27,0,2003-01-04,0,0,0,0.07,0.0,697,0,,0,0,0,0,,0.2,49,2.0,48283,p461025,,0.0,True,0.2,0,,0,0,483,0,0.07,0,1.0,0,0,0,0.0,405,0,5,61,528,,False,0,241.0,53,0,0.0,,403,21,3.0,Butler-Oyedeji,,0,61,1.05,397,43,507,55,0.7,0,1.05,0.00,a,17.0
735,Mikel Arteta,15,MNG,Arsenal,82,0.0,0.00,4.4,2019-12-22,236168,0,0.0,0,4,54.7,0,0.0,0,0.0,563,19,33,5,1982-03-26,0,21,0,0.00,0.0,541,6,,0,0,0,0,,4.4,19,0.0,159187,man51018,,0.0,True,1.3,0,,0,0,574,0,0.00,0,0.0,0,0,5,0.0,495,0,0,10,564,,False,0,200.0,19,0,2.9,,47,24,0.0,Arteta,,2,19,0.0,785,11,564,19,4.9,0,0.0,0.00,a,0.0
756,Jack Porter,40,GKP,Arsenal,0,0.0,0.00,0.0,2024-09-18,1753,0,0.0,0,62,0.0,0,0.0,0,0.0,693,76,3,0,2008-07-15,0,0,0,0.00,0.0,638,0,,0,0,0,0,,0.0,76,0.0,902,p616059,,0.0,True,0.0,0,,0,0,658,0,0.00,0,0.0,0,0,0,0.0,602,0,0,74,650,,False,0,241.0,46,0,0.0,,540,10,0.0,Porter,,0,65,0.0,725,67,650,76,0.5,0,0.0,0.00,a,0.0
790,Jimi Gower,45,MID,Arsenal,0,0.0,0.00,0.0,2024-07-24,85,0,0.0,0,284,0.0,0,0.0,0,0.0,794,304,1,0,2004-10-01,0,0,0,0.00,0.0,732,0,,0,0,0,0,,0.0,305,0.0,34,p538182,,0.0,True,0.0,0,,0,0,740,0,0.00,0,0.0,0,0,0,0.0,716,0,0,341,736,,False,0,241.0,297,0,0.0,,671,2,0.0,Gower,,0,304,0.0,449,263,736,304,0.5,0,0.0,0.00,a,0.0
793,Jack Henry-Francis,45,MID,Arsenal,0,0.0,0.00,0.0,2021-07-12,48,0,0.0,0,269,0.0,0,0.0,0,0.0,801,293,0,0,2003-09-23,0,0,0,0.00,0.0,718,0,,0,0,0,0,,0.0,294,0.0,16,p514307,,0.0,True,0.0,0,,0,0,726,0,0.00,0,0.0,0,0,0,0.0,700,0,0,346,722,,False,0,104.0,285,0,0.0,,655,0,0.0,Jack Henry-Francis,,0,293,0.0,429,250,722,293,0.5,0,0.0,0.00,a,0.0
801,Brayden Clarke,40,DEF,Arsenal,0,0.0,0.00,0.0,2025-05-02,71,0,0.0,0,213,0.0,0,0.0,0,0.0,791,231,1,0,2007-07-03,0,0,0,0.00,0.0,621,0,,0,0,0,0,,0.0,231,0.0,4,p563324,,0.0,True,0.0,0,,0,0,641,0,0.00,0,0.0,0,0,0,0.0,584,0,0,265,633,,False,0,244.0,222,0,0.0,,520,9,0.0,Clarke,,0,230,0.0,704,193,633,231,0.5,0,0.0,0.00,a,0.0
28,Leon Bailey,62,MID,Aston Villa,46,1.11,13.91,0.0,2021-08-04,183835,19,0.0,1131,33,7.4,0,1.51,0,234.8,236,110,57,0,1997-08-09,14,0,0,1.73,0.23,171,0,2025-04-01T15:00:07.914260Z,0,2,0,2,100.0,0.0,135,69.8,471644,p215711,4.0,0.16,True,0.7,0,3.0,3,0,297,2,4.65,0,2.0,3,0,0,1.11,100,0,169,75,347,,False,0,107.0,66,-3,0.0,100.0,789,103,144.4,Bailey,,0,117,0.14,59,343,216,157,0.0,1,0.37,2.92,a,323.0
29,Ross Barkley,52,MID,Aston Villa,42,0.88,5.45,0.4,2024-07-01,26583,9,0.0,559,96,8.1,0,1.45,0,127.3,350,141,5,0,1993-12-05,3,0,0,1.69,0.07,256,0,2025-01-11T01:30:08.379812Z,0,1,0,5,100.0,0.4,105,54.0,91627,p88894,,0.16,True,0.2,0,,3,1,245,1,2.11,0,2.3,3,0,0,0.48,159,0,158,109,286,,False,0,241.0,101,-3,0.1,100.0,376,10,212.2,Barkley,,0,161,0.27,163,177,272,130,0.4,3,0.34,0.42,a,202.0
30,Enzo Barrenechea,49,MID,Aston Villa,0,0.0,0.00,0.0,,872,0,0.0,0,176,0.0,0,0.0,0,0.0,670,331,0,0,,0,0,0,0.00,0.0,773,0,2024-08-31T06:33:47.934620Z,0,0,0,0,0.0,0.0,331,0.0,5337,p491287,,0.0,False,0.0,0,,1,0,775,0,0.00,0,0.0,0,0,0,0.0,765,0,0,274,775,,False,0,,330,-1,0.0,0.0,739,0,0.0,Barrenechea,Loaned to Valencia CF,0,331,0.0,272,311,775,331,0.0,0,0.0,0.00,u,0.0
31,Emiliano Buendía Stati,51,MID,Aston Villa,11,2.3,2.27,0.0,2021-06-10,6966,2,0.0,89,108,2.2,0,2.02,0,23.2,517,223,1,0,,0,0,0,0.65,0.03,413,0,2025-02-03T10:22:17.157838Z,0,0,0,0,0.0,0.0,248,5.2,17039,p195546,3.0,0.0,False,0.1,0,,4,0,529,0,0.68,0,0.9,1,0,0,0.0,408,0,37,190,483,,False,0,10.0,214,-4,0.0,0.0,764,0,16.4,Buendia,Loaned to Bayer Leverkusen,0,219,0.66,182,328,474,223,0.0,0,0.69,0.03,u,16.0
32,Matty Cash,44,DEF,Aston Villa,70,1.2,25.25,4.6,2020-09-03,258479,20,0.0,1889,90,15.9,0,0.95,0,173.8,182,78,127,0,1997-08-07,22,0,0,0.36,0.06,219,0,2025-01-31T15:00:08.473024Z,0,6,0,2,100.0,4.6,46,63.7,445718,p199796,,0.29,True,1.2,0,,1,0,163,1,1.56,6,2.8,6,0,0,1.05,215,0,257,69,218,,False,0,172.0,52,-1,1.0,100.0,42,1602,317.6,Cash,,0,53,0.02,507,10,240,79,4.6,1,0.08,1.20,a,145.0
33,Leander Dendoncker,45,MID,Aston Villa,0,0.0,0.00,0.0,,18187,0,0.0,0,233,0.0,0,0.0,0,0.0,382,266,3,0,,0,0,0,0.00,0.0,682,0,2024-09-02T10:45:36.198316Z,0,0,0,0,0.0,0.0,267,0.0,93937,p151589,,0.0,False,0.2,0,,0,0,691,0,0.00,0,0.0,0,0,0,0.0,662,0,0,125,686,,False,0,,258,0,0.0,0.0,612,0,0.0,Dendoncker,On loan to Anderlecht for the rest of the season,0,266,0.0,370,219,686,266,0.0,0,0.0,0.00,u,0.0
34,Moussa Diaby,65,MID,Aston Villa,0,0.0,0.00,0.0,,0,0,0.0,0,22,0.0,0,0.0,0,0.0,686,346,1,0,,0,0,0,0.00,0.0,799,0,2024-07-26T08:50:40.300928Z,0,0,0,0,0.0,0.0,346,0.0,3418,p243557,,0.0,False,0.0,0,,0,0,798,0,0.00,0,0.0,0,0,0,0.0,799,0,0,280,799,,False,0,,346,0,0.0,0.0,795,0,0.0,Diaby,Permanent transfer to Al Ittihad,0,346,0.0,44,346,799,346,0.0,0,0.0,0.00,u,0.0
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,21,1.29,11.88,0.0,2022-06-10,50956,15,0.0,828,57,4.7,0,1.63,0,9.2,322,131,6,0,,8,0,0,0.64,0.01,463,0,2025-01-03T19:30:08.711012Z,0,2,0,1,0.0,0.0,90,21.5,95402,p165659,,0.22,False,0.3,0,,0,0,269,0,0.72,0,2.1,1,0,0,0.87,318,0,69,124,343,,False,0,30.0,102,0,0.0,0.0,613,0,150.6,Diego Carlos,loaned to Fenerbahçe,0,160,0.07,372,244,385,126,0.0,0,0.08,0.08,u,54.0
36,Lucas Digne,44,DEF,Aston Villa,89,1.34,34.92,1.6,2022-01-13,2196400,36,0.0,2348,82,20.2,0,1.38,0,584.0,65,18,662,0,1993-07-20,28,0,0,0.80,0.15,46,0,,0,6,0,7,,1.6,45,120.1,1877051,p101188,2.0,0.23,True,5.7,0,2.0,1,2,162,5,4.77,7,2.8,4,0,0,1.07,253,0,383,22,128,,False,0,73.0,72,-1,0.4,,224,807,506.0,Digne,,0,7,0.03,495,72,102,48,1.6,0,0.18,3.97,a,112.0
37,Lewis Dobbin,50,MID,Aston Villa,0,0.0,0.00,0.0,,0,0,0.0,0,139,0.0,0,0.0,0,0.0,784,336,0,0,,0,0,0,0.00,0.0,781,0,2024-08-07T08:21:33.016106Z,0,0,0,0,0.0,0.0,336,0.0,298,p461421,,0.0,False,0.0,0,,0,0,782,0,0.00,0,0.0,0,0,0,0.0,775,0,0,336,782,,False,0,,335,0,0.0,0.0,752,0,0.0,Dobbin,Permanent transfer to West Bromwich Albion,0,336,0.0,221,322,782,336,0.0,0,0.0,0.00,u,0.0
38,Jhon Durán,57,FWD,Aston Villa,53,1.44,9.94,0.0,2023-01-23,1376643,14,0.0,622,26,9.3,0,2.03,0,68.9,156,28,73,0,,4,0,0,5.11,0.03,328,0,2025-02-03T10:25:17.104554Z,0,2,0,9,0.0,0.0,24,67.5,1336356,p476344,,0.29,False,1.6,0,,3,0,201,0,5.35,0,2.6,3,0,0,0.58,94,0,222,23,245,,False,1,48.0,29,-3,0.0,0.0,782,0,273.8,Duran,Loaned to Al-Nassr,0,35,0.74,100,82,225,23,0.0,7,0.77,0.24,u,334.0
